iter	RMSE
0	1672.394521
1	1628.128571
2	1587.427455
3	1549.537075
4	1514.416158
5	1481.714805
6	1451.090649
7	1424.148136
8	1398.02488
9	1374.300353
10	1351.955729
11	1330.915515
12	1310.615721
13	1294.503727
14	1278.375505
15	1263.69213
16	1250.239931
17	1238.07807
18	1225.266716
19	1214.450881
20	1205.104248
21	1195.888745
22	1188.187986
23	1180.331101
24	1173.799833
25	1166.383165
26	1159.775269
27	1154.538976
28	1148.877927
29	1144.137212
30	1140.024052
31	1136.190567
32	1132.198187
33	1128.621367
34	1125.072732
35	1122.002399
36	1119.537499
37	1116.811023
38	1114.843873
39	1112.855937
40	1110.623817
41	1108.517602
42	1106.934718
43	1105.675763
44	1104.340293
45	1102.68999
46	1101.265728
47	1100.028912
48	1099.008924
49	1097.768774
50	1096.654455
51	1095.716848
52	1094.678034
53	1093.713291
54	1093.059964
55	1092.169696
56	1091.559726
57	1090.720782
58	1090.089407
59	1089.3317
60	1088.595322
61	1088.111907
62	1087.435
63	1086.806134
64	1086.007564
65	1085.45847
66	1084.455824
67	1083.852533
68	1083.276557
69	1082.669316
70	1082.131655
71	1081.53248
72	1080.936578
73	1080.378388
74	1080.014693
75	1079.550212
76	1079.04433
77	1078.52624
78	1078.203434
79	1077.963511
80	1077.586259
81	1077.115408
82	1076.85581
83	1076.497449
84	1075.700374
85	1075.512803
86	1074.763388
87	1074.559479
88	1074.138936
89	1073.488192
90	1073.183727
91	1072.756322
92	1072.36641
93	1072.03746
94	1071.700665
95	1071.329314
96	1070.655256
97	1070.13528
98	1069.644656
99	1069.424391
100	1069.007548
101	1068.680594
102	1068.388329
103	1068.107886
104	1067.836561
105	1067.153763
106	1066.864792
107	1066.441402
108	1066.017544
109	1065.859503
110	1065.343752
111	1065.185272
112	1064.552502
113	1064.027214
114	1063.447566
115	1063.159482
116	1062.985369
117	1062.420359
118	1062.244519
119	1062.024618
120	1061.833603
121	1061.444779
122	1061.056963
123	1060.666725
124	1060.361223
125	1060.001143
126	1059.461374
127	1058.925936
128	1058.752505
129	1058.410288
130	1058.082778
131	1057.734596
132	1057.485283
133	1057.189644
134	1056.580768
135	1056.366408
136	1055.786484
137	1055.598718
138	1055.226005
139	1054.816769
140	1054.384502
141	1053.996975
142	1053.846359
143	1053.616519
144	1053.340714
145	1052.955145
146	1052.72884
147	1052.457695
148	1052.14411
149	1051.839283
150	1051.388953
151	1051.086303
152	1050.875967
153	1050.661727
154	1050.234255
155	1049.95513
156	1049.409729
157	1048.868266
158	1048.47163
159	1048.080053
160	1047.590281
161	1047.201088
162	1046.850294
163	1046.564281
164	1046.168099
165	1045.760357
166	1045.330286
167	1045.153466
168	1044.727743
169	1044.127507
170	1043.659603
171	1043.097598
172	1042.694277
173	1042.091929
174	1041.801479
175	1041.519262
176	1040.896291
177	1040.653556
178	1040.267516
179	1040.012014
180	1039.633429
181	1039.279547
182	1038.844061
183	1038.384425
184	1037.820509
185	1037.402972
186	1037.03824
187	1036.767893
188	1036.356725
189	1036.040112
190	1035.294683
191	1034.988361
192	1034.616504
193	1034.32717
194	1033.468511
195	1033.033561
196	1032.670652
197	1032.470614
198	1032.093635
199	1031.784951
200	1031.268628
201	1030.71978
202	1030.324581
203	1030.007224
204	1029.423757
205	1029.044551
206	1028.754271
207	1028.245639
208	1028.011316
209	1027.49279
210	1026.928634
211	1026.521837
212	1026.166296
213	1025.669885
214	1025.105635
215	1024.870507
216	1024.581506
217	1024.10717
218	1023.773991
219	1023.381412
220	1022.975992
221	1022.723527
222	1022.299032
223	1021.934094
224	1021.623181
225	1021.344619
226	1021.038076
227	1020.53952
228	1020.265688
229	1019.967092
230	1019.374888
231	1019.012768
232	1018.493686
233	1018.178018
234	1017.780611
235	1017.51983
236	1017.190329
237	1016.923995
238	1016.545427
239	1016.248448
240	1015.991603
241	1015.565954
242	1015.329594
243	1015.050083
244	1014.850801
245	1014.456453
246	1014.133138
247	1013.747174
248	1013.313881
249	1013.072636
250	1012.654097
251	1012.441314
252	1011.975651
253	1011.328341
254	1010.937394
255	1010.637067
256	1010.314608
257	1010.000679
258	1009.781681
259	1009.526859
260	1009.265335
261	1008.9003
262	1008.412576
263	1007.978368
264	1007.503816
265	1007.260732
266	1007.114204
267	1006.705713
268	1006.343081
269	1006.01917
270	1005.489437
271	1005.247687
272	1004.76309
273	1004.474149
274	1004.056485
275	1003.783773
276	1003.452267
277	1003.147487
278	1002.88786
279	1002.692065
280	1002.357163
281	1001.821988
282	1001.398435
283	1001.036008
284	1000.687869
285	1000.340467
286	1000.013993
287	999.7233748
288	999.4155673
289	999.1384402
290	998.8300043
291	998.2347782
292	997.9623889
293	997.3483445
294	996.7995618
295	996.455566
296	996.1715812
297	995.9063662
298	995.4348998
299	995.2898184
