iter	Passed	Remaining
0	4	1358
1	8	1321
2	12	1232
3	16	1189
4	19	1149
5	22	1122
6	26	1090
7	28	1034
8	31	1010
9	35	1018
10	38	1011
11	41	1003
12	45	1007
13	49	1021
14	53	1014
15	56	1010
16	60	1000
17	63	1002
18	67	1004
19	71	994
20	73	981
21	76	969
22	80	966
23	84	970
24	88	970
25	92	972
26	95	966
27	99	962
28	103	963
29	107	963
30	111	965
31	114	961
32	118	960
33	122	961
34	126	961
35	130	957
36	133	951
37	136	943
38	139	935
39	143	931
40	147	929
41	150	924
42	153	919
43	156	908
44	159	903
45	162	897
46	165	891
47	168	886
48	172	882
49	175	876
50	178	870
51	181	865
52	183	856
53	187	855
54	191	853
55	194	847
56	197	842
57	200	838
58	203	832
59	206	827
60	210	823
61	213	819
62	216	814
63	220	812
64	223	809
65	227	806
66	230	802
67	233	797
68	237	794
69	240	791
70	244	788
71	248	785
72	250	780
73	254	775
74	256	769
75	259	764
76	262	760
77	265	755
78	268	751
79	272	748
80	275	744
81	278	740
82	281	734
83	283	730
84	287	727
85	290	723
86	293	719
87	296	714
88	299	710
89	302	706
90	305	702
91	308	697
92	312	694
93	315	691
94	318	687
95	321	683
96	324	679
97	328	676
98	331	672
99	334	669
100	338	666
101	341	662
102	344	658
103	347	655
104	351	652
105	354	648
106	357	644
107	360	641
108	363	637
109	366	633
110	369	629
111	372	625
112	376	622
113	378	618
114	381	614
115	384	609
116	387	606
117	390	602
118	393	598
119	396	594
120	399	591
121	403	588
122	406	584
123	409	581
124	413	578
125	416	575
126	419	571
127	422	567
128	426	565
129	429	561
130	431	556
131	434	553
132	438	550
133	441	546
134	444	543
135	447	539
136	450	536
137	453	532
138	456	529
139	459	525
140	462	521
141	465	518
142	468	514
143	471	511
144	474	507
145	477	503
146	480	500
147	483	497
148	487	494
149	490	490
150	493	487
151	497	484
152	501	481
153	504	478
154	508	475
155	511	472
156	515	469
157	517	465
158	521	462
159	524	458
160	527	455
161	531	452
162	534	449
163	537	445
164	540	442
165	543	438
166	546	435
167	550	432
168	553	428
169	556	425
170	560	422
171	563	419
172	566	416
173	570	412
174	572	409
175	576	405
176	579	402
177	582	399
178	585	395
179	589	392
180	592	389
181	595	385
182	598	382
183	601	378
184	604	375
185	607	372
186	610	368
187	613	365
188	616	361
189	619	358
190	622	355
191	625	351
192	628	348
193	631	344
194	634	341
195	637	338
196	640	334
197	643	331
198	647	328
199	650	325
200	653	321
201	656	318
202	660	315
203	663	312
204	666	308
205	668	305
206	671	301
207	674	298
208	677	295
209	680	291
210	683	288
211	686	284
212	689	281
213	692	278
214	695	274
215	698	271
216	701	268
217	704	264
218	706	261
219	710	258
220	713	255
221	716	251
222	719	248
223	722	245
224	725	241
225	728	238
226	731	235
227	734	231
228	737	228
229	741	225
230	744	222
231	747	219
232	750	215
233	753	212
234	756	209
235	759	205
236	761	202
237	764	199
238	768	196
239	770	192
240	773	189
241	776	186
242	779	182
243	798	183
244	801	179
245	803	176
246	805	172
247	808	169
248	810	166
249	813	162
250	816	159
251	818	155
252	821	152
253	824	149
254	826	145
255	829	142
256	844	141
257	846	137
258	849	134
259	851	131
260	854	127
261	856	124
262	859	120
263	861	117
264	864	114
265	866	110
266	868	107
267	871	104
268	874	100
269	877	97
270	880	94
271	882	90
272	885	87
273	888	84
274	891	81
275	893	77
276	896	74
277	899	71
278	901	67
279	904	64
280	907	61
281	909	58
282	912	54
283	914	51
284	917	48
285	920	45
286	922	41
287	925	38
288	928	35
289	930	32
290	934	28
291	936	25
292	939	22
293	942	19
294	945	16
295	948	12
296	951	9
297	954	6
298	957	3
299	960	0
